respid,party,stackid,votech,pid,pid_str,age,gndr,edu,lr_self,lr_party,lr_party_ches,euint_self,euint_party,euint_party_ches,ptv,stacked_vc,lr_dist,lr_dist_ches,euint_dist,euint_dist_ches,stacked_pid,stacked_pid_str,age_dich_yhat,age_cont_yhat,socdem_dich_yhat,socdem_cont_yhat
12786,1506,12786-1506,0,1503,3,34,2,2,1,.38854042,.43125001,99,.60604191,.67500001,.5,0,.61145961,.56875002,99,99,0,0,.067008205,.32295373,.031811953,.30682814
12786,1507,12786-1507,0,1503,3,34,2,2,1,.78887701,.90526313,99,.38956836,.19473684,.5,0,.21112299,.094736874,99,99,0,0,.038624793,.30471581,.032405365,.30858395
12792,1501,12792-1501,0,1511,2,32,2,2,99,.31963715,.32105261,0,.55755055,.67894733,0,0,99,99,.55755055,.67894733,0,0,.1552285,.36118385,.1268598,.30881113
12792,1502,12792-1502,0,1511,2,32,2,2,99,.73667377,.69473684,0,.45579195,.48947367,0,0,99,99,.45579195,.48947367,0,0,.051652268,.29024246,.043424595,.27996999
12792,1503,12792-1503,0,1511,2,32,2,2,99,.81542552,.87894738,0,.39441913,.16842106,0,0,99,99,.39441913,.16842106,0,0,.24748337,.43336508,.25304621,.48382995
12792,1504,12792-1504,0,1511,2,32,2,2,99,.50609195,.47777778,0,.46630952,.34736842,0,0,99,99,.46630952,.34736842,0,0,.17364502,.44163987,.19850872,.44545141
12792,1505,12792-1505,0,1511,2,32,2,2,99,.14420828,.14444444,0,.48329145,.5266667,.69999999,0,99,99,.48329145,.5266667,0,0,.018152382,.26590228,.014175999,.2516782
12792,1506,12792-1506,0,1511,2,32,2,2,99,.38854042,.43125001,0,.60604191,.67500001,0,0,99,99,.60604191,.67500001,0,0,.070142888,.32967275,.032626234,.31243497
12792,1507,12792-1507,0,1511,2,32,2,2,99,.78887701,.90526313,0,.38956836,.19473684,0,0,99,99,.38956836,.19473684,0,0,.03790167,.30492714,.031597827,.30881175
12794,1501,12794-1501,1504,1504,1,38,2,2,.4,.31963715,.32105261,.7,.55755055,.67894733,.80000001,0,.080362849,.078947388,.14244945,.02105267,0,0,.16290531,.35304677,.1359074,.30789229
12794,1502,12794-1502,1504,1504,1,38,2,2,.4,.73667377,.69473684,.7,.45579195,.48947367,0,0,.33667377,.29473683,.24420805,.21052633,0,0,.049098521,.28005406,.039938703,.26880306
12794,1503,12794-1503,1504,1504,1,38,2,2,.4,.81542552,.87894738,.7,.39441913,.16842106,0,0,.41542551,.47894737,.30558085,.53157896,0,0,.25626746,.43593338,.25673696,.4806672
12794,1504,12794-1504,1504,1504,1,38,2,2,.4,.50609195,.47777778,.7,.46630952,.34736842,1,1,.10609195,.077777781,.23369049,.35263157,1,1,.1744168,.42473751,.19755028,.42555219
12794,1505,12794-1505,1504,1504,1,38,2,2,.4,.14420828,.14444444,.7,.48329145,.5266667,.60000002,0,.25579172,.25555557,.21670856,.1733333,0,0,.019736033,.2505936,.015410633,.23922999
12794,1506,12794-1506,1504,1504,1,38,2,2,.4,.38854042,.43125001,.7,.60604191,.67500001,.60000002,0,.011459583,.031250007,.093958095,.024999987,0,0,.061125606,.30951566,.030241961,.29561448
12794,1507,12794-1507,1504,1504,1,38,2,2,.4,.78887701,.90526313,.7,.38956836,.19473684,0,0,.388877,.50526315,.31043163,.50526315,0,0,.040110953,.30429319,.034080688,.3081283
12795,1501,12795-1501,99,99,99,32,2,3,99,.31963715,.32105261,99,.55755055,.67894733,99,99,99,99,99,99,99,0,99,99,99,99
12795,1502,12795-1502,99,99,99,32,2,3,99,.73667377,.69473684,99,.45579195,.48947367,99,99,99,99,99,99,99,0,99,99,99,99
12795,1503,12795-1503,99,99,99,32,2,3,99,.81542552,.87894738,99,.39441913,.16842106,99,99,99,99,99,99,99,0,99,99,99,99
12795,1504,12795-1504,99,99,99,32,2,3,99,.50609195,.47777778,99,.46630952,.34736842,99,99,99,99,99,99,99,0,99,99,99,99
12795,1505,12795-1505,99,99,99,32,2,3,99,.14420828,.14444444,99,.48329145,.5266667,99,99,99,99,99,99,99,0,99,99,99,99
12795,1506,12795-1506,99,99,99,32,2,3,99,.38854042,.43125001,99,.60604191,.67500001,99,99,99,99,99,99,99,0,99,99,99,99
12795,1507,12795-1507,99,99,99,32,2,3,99,.78887701,.90526313,99,.38956836,.19473684,99,99,99,99,99,99,99,0,99,99,99,99
12796,1501,12796-1501,1504,1504,3,37,2,3,.7,.31963715,.32105261,.7,.55755055,.67894733,0,0,.38036284,.37894738,.14244945,.02105267,0,0,.16160493,.35440296,.18410167,.36837709
12796,1502,12796-1502,1504,1504,3,37,2,3,.7,.73667377,.69473684,.7,.45579195,.48947367,0,0,.036673773,.0052631618,.24420805,.21052633,0,0,.049515672,.28175214,.055417743,.27165964
12796,1503,12796-1503,1504,1504,3,37,2,3,.7,.81542552,.87894738,.7,.39441913,.16842106,.40000001,0,.11542551,.17894737,.30558085,.53157896,0,0,.25478935,.43550533,.2161812,.40050638
12796,1504,12796-1504,1504,1504,3,37,2,3,.7,.50609195,.47777778,.7,.46630952,.34736842,1,1,.19390805,.22222222,.23369049,.35263157,1,3,.17428797,.42755458,.17234881,.41617441
12796,1505,12796-1505,1504,1504,3,37,2,3,.7,.14420828,.14444444,.7,.48329145,.5266667,0,0,.55579174,.55555558,.21670856,.1733333,0,0,.019462992,.25314504,.012697197,.29694283
12796,1506,12796-1506,1504,1504,3,37,2,3,.7,.38854042,.43125001,.7,.60604191,.67500001,0,0,.31145957,.26874998,.093958095,.024999987,0,0,.062549338,.31287515,.0806541,.36583576
12796,1507,12796-1507,1504,1504,3,37,2,3,.7,.78887701,.90526313,.7,.38956836,.19473684,0,0,.088877007,.20526312,.31043163,.50526315,0,0,.039734356,.30439883,.047797758,.28338143
12797,1501,12797-1501,1501,1501,2,42,2,2,.3,.31963715,.32105261,.8,.55755055,.67894733,.80000001,1,.019637149,.02105261,.24244945,.12105267,1,2,.16819113,.34762204,.14223683,.30727977
12797,1502,12797-1502,1501,1501,2,42,2,2,.3,.73667377,.69473684,.8,.45579195,.48947367,0,0,.43667376,.39473683,.34420806,.31052634,0,0,.04746303,.27326182,.037765469,.26135844
12797,1503,12797-1503,1501,1501,2,42,2,2,.3,.81542552,.87894738,.8,.39441913,.16842106,0,0,.5154255,.57894737,.40558088,.63157892,0,0,.26223585,.43764558,.25921693,.47855872
12797,1504,12797-1504,1501,1501,2,42,2,2,.3,.50609195,.47777778,.8,.46630952,.34736842,0,0,.20609196,.17777778,.33369049,.45263159,0,0,.17493281,.41346928,.19691327,.41228601
12797,1505,12797-1505,1501,1501,2,42,2,2,.3,.14420828,.14444444,.8,.48329145,.5266667,.80000001,0,.15579171,.15555556,.31670856,.27333331,0,0,.020866215,.24038781,.01629192,.23093121
12797,1506,12797-1506,1501,1501,2,42,2,2,.3,.38854042,.43125001,.8,.60604191,.67500001,0,0,.08854042,.13125001,.19395809,.12499999,0,0,.055728588,.29607758,.028747149,.28440082
12797,1507,12797-1507,1501,1501,2,42,2,2,.3,.78887701,.90526313,.8,.38956836,.19473684,0,0,.488877,.60526311,.41043165,.60526317,0,0,.041651823,.30387056,.035839412,.30767268
12799,1501,12799-1501,1503,0,0,50,2,1,.1,.31963715,.32105261,.4,.55755055,.67894733,.30000001,0,.21963716,.22105262,.15755054,.27894732,0,0,.17917182,.33677259,.12156925,.27737448
